EventNumber,EventName,RandomSeed,EventWeight,Primary [Type],Energy [GeV],Zenith [Deg],"Azimuth [Deg, Geomagnetic]",Model
0,Xi_Sib_Proton_0.288_75.1_226.3_0,0.3918872317,1,Proton,0.28820502083974936,75.12602947705146,226.34769583594354,Sib
1,Xi_Sib_Iron_0.236_82.3_107.4_1,0.5948628624,1,Iron,0.23587607487247342,82.26350588032189,107.41166610625451,Sib
2,Xi_Sib_Proton_0.322_86.3_62.36_2,0.5803989936,1,Proton,0.32152343714978326,86.27617011870393,62.35795371804718,Sib
3,Xi_Sib_Iron_1.02_66.6_190.5_3,0.6506007167,1,Iron,1.018078484208393,66.5845521076471,190.514365377703,Sib
4,Xi_Sib_Proton_0.548_75.6_271.4_4,0.8713445142,1,Proton,0.5481162690238217,75.60677663003007,271.43026305082697,Sib
5,Xi_Sib_Iron_0.174_84.8_147.8_5,0.9279351660,1,Iron,0.17372531493638005,84.80417504492227,147.81598089401962,Sib
6,Xi_Sib_Proton_0.0503_79.9_54.54_6,0.1270786234,1,Proton,0.05028083686128652,79.85197517830366,54.54337921012099,Sib
7,Xi_Sib_Iron_1.84_80.6_106.9_7,0.6291484687,1,Iron,1.8397392262571322,80.64706914148867,106.94988822138828,Sib
8,Xi_Sib_Proton_2.68_78.2_194.2_8,0.4799998240,1,Proton,2.6842709933545326,78.18676579296054,194.20751288160565,Sib
9,Xi_Sib_Iron_0.48_81.9_322.0_9,0.3357600487,1,Iron,0.4802522582493479,81.92734304916672,322.01264960768765,Sib
10,Xi_Sib_Proton_0.78_72.7_19.24_10,0.8105765576,1,Proton,0.7803130941795283,72.74674247712007,19.241506747958628,Sib
11,Xi_Sib_Iron_0.252_88.0_242.0_11,0.1092978159,1,Iron,0.25210734396539364,87.95867678025759,241.99695059501752,Sib
12,Xi_Sib_Proton_0.389_84.8_212.0_12,0.1291324333,1,Proton,0.3891497674246151,84.79829362011282,212.0085081254955,Sib
13,Xi_Sib_Iron_0.479_86.6_318.2_13,0.4858006351,1,Iron,0.4792521475330425,86.63479802748559,318.2485901995767,Sib
14,Xi_Sib_Proton_1.28_64.1_103.4_14,0.3165114255,1,Proton,1.2794368568732928,64.12279340200232,103.36431231845935,Sib
15,Xi_Sib_Iron_0.0484_85.1_114.4_15,0.3042712218,1,Iron,0.04835951091708794,85.07978251577522,114.3604533096437,Sib
16,Xi_Sib_Proton_0.0659_85.8_81.84_16,0.0857398437,1,Proton,0.06593805955699511,85.84226428247517,81.84147266071591,Sib
17,Xi_Sib_Iron_0.0774_65.5_288.0_17,0.6745380304,1,Iron,0.07743442120093068,65.53308641962785,287.97287651502364,Sib
18,Xi_Sib_Proton_0.792_83.9_150.5_18,0.4808472019,1,Proton,0.7920127511391384,83.85636227527299,150.47756092914392,Sib
19,Xi_Sib_Iron_0.204_86.0_283.6_19,0.9267833944,1,Iron,0.20375974715069142,85.96871562334462,283.6424764160099,Sib
