EventNumber,EventName,RandomSeed,EventWeight,Primary [Type],Energy [EeV],Zenith [Deg],"Azimuth [Deg, Geomagnetic]",Model,Xmax [g/cm2],XmaxAltitude [km],XmaxDistance [km]
0,Xi_Sib_Proton_0.277_84.9_48.63_0,0.5425452008,1,Proton,0.27693353298562895,84.90485181999568,48.63442496360173,Sib,699.6577816821239,17.436243280861163,158.57799531608106
1,Xi_Sib_Iron_1.06_78.1_153.4_1,0.3913714762,1,Iron,1.0612382099457993,78.08747361641262,153.40644275544602,Sib,633.4971469466684,14.26422314559477,60.971021932571084
2,Xi_Sib_Proton_0.238_79.2_325.3_2,0.7707237533,1,Proton,0.23771685729136502,79.16795828781757,325.3228670573054,Sib,695.8114788448369,14.186245758062796,66.2716298442022
3,Xi_Sib_Iron_0.0411_87.1_122.5_3,0.2103762490,1,Iron,0.041086087528172034,87.10792982513276,122.47061096725992,Sib,551.594297647122,20.140326055392507,263.77417327332955
4,Xi_Sib_Proton_0.486_87.1_251.7_4,0.4721116801,1,Proton,0.48555227266876333,87.13395345717238,251.7041304704313,Sib,713.8016874904886,18.65450526429504,248.58206818071133
5,Xi_Sib_Iron_1.9_82.3_136.1_5,0.5037903479,1,Iron,1.8979924747615666,82.32232287494988,136.09728542125214,Sib,648.1410801987943,16.315590450773016,105.26635495472517
6,Xi_Sib_Proton_0.164_84.9_17.84_6,0.9145811206,1,Proton,0.16430342939865622,84.92888925303188,17.836713497924844,Sib,686.5075044400091,17.565122842160235,160.3015466087339
7,Xi_Sib_Iron_0.0618_74.0_298.1_7,0.9896569628,1,Iron,0.0618373240566846,73.99382378573648,298.0566952241242,Sib,561.8925398861895,13.368972469534128,42.92308273544682
8,Xi_Sib_Proton_0.826_86.4_119.8_8,0.8349481105,1,Proton,0.8262681732916741,86.40729535502135,119.80569451741091,Sib,727.1930194300053,18.136698652626364,211.45322164938926
9,Xi_Sib_Iron_0.0544_82.9_333.6_9,0.0791483700,1,Iron,0.05443172896126862,82.87350175137848,333.5634519962255,Sib,558.6794235052524,17.551209957471656,121.0810005702678
10,Xi_Sib_Proton_0.168_78.0_281.8_10,0.3708397079,1,Proton,0.1677288144333909,78.03020386097978,281.83511175228875,Sib,687.0272452800427,13.730120664102287,58.226909182492314
11,Xi_Sib_Iron_0.0337_85.2_174.1_11,0.3638139866,1,Iron,0.033686681570452244,85.19946967630419,174.0934251181718,Sib,546.5925774168358,19.098929183740438,181.05005001622138
12,Xi_Sib_Proton_0.417_72.1_341.1_12,0.1517673418,1,Proton,0.4174897713005545,72.12361402854087,341.10929977270183,Sib,709.9974586925694,11.254214043840875,31.867380688242115
13,Xi_Sib_Iron_0.112_71.6_252.1_13,0.1997973986,1,Iron,0.11206121424704135,71.6065877010218,252.05574497630423,Sib,576.8684087911274,12.402089196325505,34.59991238410079
14,Xi_Sib_Proton_0.0457_76.1_314.2_14,0.3800755929,1,Proton,0.04565144523556408,76.11316480484687,314.21910120676733,Sib,654.2483627981592,13.215230734610486,48.50555879846999
15,Xi_Sib_Iron_0.0513_71.0_312.2_15,0.9032975905,1,Iron,0.05132378569802263,71.02378408506284,312.22392975649217,Sib,557.198483609114,12.440875047833288,33.708808656975414
16,Xi_Sib_Proton_0.0445_86.9_46.96_16,0.3226706223,1,Proton,0.04445588884053662,86.94635626357841,46.95933592795937,Sib,653.5798992752781,19.066168078087685,244.2310414519268
17,Xi_Sib_Iron_0.0878_82.0_23.48_17,0.6676035567,1,Iron,0.08784585367947502,82.0145119290176,23.477014036067434,Sib,570.7358335227809,16.9213885354402,105.56864957083279
18,Xi_Sib_Proton_0.163_87.4_35.46_18,0.1338331951,1,Proton,0.16305563218473657,87.4254804755124,35.46145216337888,Sib,686.3154766656533,19.03129448527943,267.79202384373804
19,Xi_Sib_Iron_1.67_62.7_56.79_19,0.2547846397,1,Iron,1.6728656598563674,62.68703120579458,56.790725499000374,Sib,644.9607418379303,9.382027043126982,17.355086140264497
20,Xi_Sib_Proton_0.204_84.0_269.1_20,0.2067444442,1,Proton,0.20432703527101098,83.97487472889075,269.14294844935023,Sib,691.9988983461728,16.916881319350978,134.4890265308508
21,Xi_Sib_Iron_0.0526_72.4_69.27_21,0.6372602811,1,Iron,0.05259313712268546,72.44650238637298,69.26907552323543,Sib,557.8138864528607,12.884796687751077,37.743742484224335
22,Xi_Sib_Proton_0.298_84.4_176.1_22,0.1911955178,1,Proton,0.2982870857686888,84.40377198101811,176.1431410591498,Sib,701.5287981665159,17.103632897898933,144.44496990371897
23,Xi_Sib_Iron_1.8_86.0_302.9_23,0.5306879481,1,Iron,1.8011189552110536,86.00622311835197,302.86751602584644,Sib,646.8214590155883,18.586776924189508,201.40191072637077
24,Xi_Sib_Proton_0.286_87.2_343.2_24,0.1614381094,1,Proton,0.2857512321920299,87.15184381978436,343.2007886713569,Sib,700.4473104843355,18.773443287663213,250.79629840055642
25,Xi_Sib_Iron_0.839_74.3_83.67_25,0.6281975500,1,Iron,0.8393123004474397,74.25588745101342,83.67134876747753,Sib,627.5875680990058,12.765536780887487,41.42753028572536
26,Xi_Sib_Proton_0.0471_81.9_33.68_26,0.0371108814,1,Proton,0.04709325960100861,81.85405654297669,33.68471610644291,Sib,655.031607590142,15.980608074934025,97.73010107403543
27,Xi_Sib_Iron_0.187_77.7_220.1_27,0.9641587924,1,Iron,0.1872286247806103,77.65372441660904,220.12695916052104,Sib,589.7975903469364,14.517919200648976,60.08863342417911
28,Xi_Sib_Proton_0.153_82.4_93.88_28,0.7634750963,1,Proton,0.15288715837077518,82.43577401605717,93.88117851499999,Sib,684.6935185070238,16.044990511483775,104.8300181521514
29,Xi_Sib_Iron_1.98_65.9_98.27_29,0.5339652681,1,Iron,1.9772561207664612,65.85465590958337,98.2671173040914,Sib,649.1716498594475,10.072206543049106,21.129492690804142
30,Xi_Sib_Proton_0.7_78.1_341.8_30,0.0294266084,1,Proton,0.7003912254556374,78.14208792044623,341.8449752016663,Sib,723.0297604014951,13.461386117226539,57.49055485673471
31,Xi_Sib_Iron_0.926_85.9_193.5_31,0.9785233891,1,Iron,0.925925070799932,85.93140587042029,193.46928394115213,Sib,630.0613989187223,18.697063049477947,199.9204858592594
32,Xi_Sib_Proton_0.153_85.8_254.1_32,0.8147574390,1,Proton,0.15310344572071194,85.81056501831839,254.08435555567482,Sib,684.7291279681268,18.130890730993087,190.38882324848043
33,Xi_Sib_Iron_0.757_85.6_311.9_33,0.8577424186,1,Iron,0.7568931466057508,85.57066434182754,311.8563954832863,Sib,624.984005226765,18.52568167894151,186.65263881580972
34,Xi_Sib_Proton_0.134_87.7_175.0_34,0.8990770634,1,Proton,0.13412971978532007,87.68021316041789,174.98987166782754,Sib,681.3964510028302,19.194631303990718,283.94716952423005
35,Xi_Sib_Iron_0.0423_85.7_57.97_35,0.9737659871,1,Iron,0.04233569738741277,85.69858628888305,57.972988927640586,Sib,552.3489896563012,19.338729938104734,198.35099707174928
36,Xi_Sib_Proton_0.844_87.7_208.5_36,0.5763807561,1,Proton,0.8443920901958383,87.73972175282533,208.5021804650566,Sib,727.7395610724204,18.843956278252335,283.2685478852666
37,Xi_Sib_Iron_0.361_83.5_228.2_37,0.1755674329,1,Iron,0.3610591603139521,83.5406256234599,228.18919705316858,Sib,606.3395453332031,17.45156364345985,130.90936642259334
